MD,Inc,Azim,TVD,NS,EW
0.0,0.0,140.0,0.0,0.0,0.0
100.0,0.16,185.67,99.999870029952,-0.14,-0.01
200.0,0.18,174.24,199.999432250218,-0.43,-0.01
300.0,0.38,179.58,299.998188890461,-0.92,0.01
400.0,0.51,160.86,399.995203411118,-1.67,0.15
500.0,1.2,150.18,499.983519067704,-3.0,0.82
600.0,3.15,137.86,599.907094944167,-5.95,3.19
700.0,5.59,134.15,699.609025589358,-11.38,8.52
800.0,7.49,134.75,798.953743326446,-19.36,16.65
900.0,9.47,142.2,897.858547253119,-30.45,26.32
1000.0,10.56,148.57,996.336343931811,-44.77,36.14
1100.0,12.19,154.8,1094.37250566201,-62.15,45.42
1200.0,13.14,155.54,1191.93831898758,-82.04,54.62
1300.0,12.94,159.59,1289.36161191,-102.89,63.23
1400.0,13.66,169.9,1386.69271312165,-125.01,69.21
1574.0,13.5,169.9,1555.8281438964,-165.23,76.37
1699.13,14.93,196.35,1677.25124319477,-195.11,74.39
1787.54,16.63,199.05,1762.32737385975,-218.0,67.06
1878.71,17.89,198.6,1849.3901072248,-243.6,58.33
1973.57,18.9,197.71,1939.4021129857,-272.05,49.01
2066.05,19.11,197.32,2026.84102991679,-300.77,39.95
2162.95,20.32,196.4,2118.05949874423,-332.05,30.47
2253.25,22.34,196.04,2202.16971050335,-363.59,21.3
2348.11,24.95,200.53,2289.06564347266,-399.66,9.3
2444.38,26.15,203.37,2375.92304640159,-438.15,-6.23
2541.28,25.88,199.78,2463.01046476934,-477.66,-21.86
2626.07,25.96,196.41,2539.27522988881,-512.87,-33.37
2720.24,26.32,194.36,2623.81515438297,-552.87,-44.37
2812.4,26.25,194.52,2706.44603653677,-592.39,-54.54
2906.78,25.95,195.03,2791.20189062571,-632.54,-65.13
2998.19,23.89,194.99,2874.09688004956,-669.74,-75.11
3094.28,24.24,195.25,2961.83495658763,-707.57,-85.33
3187.45,23.09,197.61,3047.17061128217,-743.44,-95.89
3284.76,22.99,198.35,3136.71855164773,-779.66,-107.64
3374.98,23.32,199.35,3219.67104147175,-813.23,-119.11
3470.68,23.36,200.12,3307.54011767303,-848.92,-131.91
3567.19,22.83,199.93,3396.31509034495,-884.49,-144.87
3661.19,22.83,200.0,3482.95114348639,-918.77,-157.33
3753.77,21.0,198.79,3568.83797388029,-951.35,-168.81
