MD,Inc,Azim,TVD,NS,EW
3847.73,21.49,198.84,3656.4121386277,-983.58,-179.79
3935.37,21.7,198.95,3737.90052274779,-1014.1,-190.24
4064.34,21.72,197.74,3857.72303458487,-1059.38,-205.25
4157.71,21.98,198.31,3944.38548856868,-1092.42,-216.01
4252.49,22.09,198.25,4032.24225664653,-1126.19,-227.16
4346.39,22.27,198.24,4119.19384813187,-1159.85,-238.26
4440.39,22.43,198.64,4206.13242438957,-1193.76,-249.57
4534.52,22.42,198.58,4293.1442839888,-1227.79,-261.03
4628.27,22.54,198.76,4379.77050275425,-1261.75,-272.5
4720.79,22.84,197.17,4465.13067456143,-1295.7,-283.5
4814.92,23.1,194.94,4551.79863386629,-1331.0,-293.66
4907.43,23.26,195.01,4636.84053413128,-1366.17,-303.07
5000.7,23.2,194.72,4722.54906145238,-1401.73,-312.5
5094.47,23.55,194.99,4808.62304501078,-1437.69,-322.04
5187.35,23.66,195.23,4893.73157693845,-1473.59,-331.74
5281.15,23.69,194.75,4979.63725095506,-1509.98,-341.48
5374.44,24.04,195.52,5064.95115209769,-1546.41,-351.34
5467.3,23.95,194.63,5149.78655235002,-1582.87,-361.16
5560.16,23.82,196.26,5234.69494158329,-1619.11,-371.17
5653.69,23.73,198.23,5320.28894149078,-1655.12,-382.34
5746.25,23.88,199.78,5404.97516560831,-1690.44,-394.51
5841.54,23.66,201.39,5492.18267339451,-1726.39,-408.01
5935.35,23.08,202.75,5578.29699884306,-1760.87,-421.99
6027.65,23.65,201.54,5663.02827312936,-1794.78,-435.78
6121.58,24.62,199.4,5748.74798363101,-1830.76,-449.2
6215.04,24.75,199.46,5833.66736240671,-1867.57,-462.18
6307.9,24.41,198.43,5918.11278534508,-1904.1,-474.72
6401.24,23.2,196.11,6003.51214603811,-1940.06,-485.92
6495.04,21.32,196.33,6090.31776612395,-1974.18,-495.85
6588.22,21.65,197.5,6177.02329703361,-2006.83,-505.78
6680.48,22.37,199.28,6262.55964924065,-2039.63,-516.69
6773.26,22.42,197.14,6348.34355996695,-2073.21,-527.74
6867.91,23.87,197.39,6435.37317112837,-2108.73,-538.78
6961.46,24.35,195.5,6520.76318217286,-2145.38,-549.59
7055.61,24.4,194.45,6606.52141735926,-2182.92,-559.63
7148.26,24.54,196.26,6690.85061711507,-2219.92,-569.79
7241.85,24.5,197.76,6776.00117550647,-2257.06,-581.15
7335.51,24.82,197.4,6861.11929187396,-2294.31,-592.96
7429.19,24.6,198.26,6946.22173133328,-2331.59,-604.95
7522.79,23.93,198.84,7031.55222811975,-2368.06,-617.18
7615.58,25.08,199.16,7115.98279666047,-2404.44,-629.71
7708.37,25.51,199.36,7199.87589530349,-2441.87,-642.79
7802.82,25.7,198.68,7285.05056340368,-2480.46,-656.09
7895.79,25.6,198.51,7368.85884652498,-2518.6,-668.93
7989.22,26.05,197.49,7452.95808377402,-2557.31,-681.5
8082.21,25.43,196.43,7536.72110460182,-2595.94,-693.28
8175.17,24.2,195.89,7621.09637769443,-2633.41,-704.15
8268.85,23.35,195.8,7706.82550308063,-2669.74,-714.46
8362.97,22.23,194.76,7793.59660306611,-2704.9,-724.07
8455.76,20.91,194.59,7879.88653679502,-2737.9,-732.72
8599.8,20.26,193.2,8014.72990975081,-2787.06,-744.89
8693.03,22.36,196.21,8101.58334124499,-2819.81,-753.52
8785.66,22.89,197.31,8187.08484704309,-2853.93,-763.8
8879.37,23.08,196.24,8273.35528257016,-2888.96,-774.36
8973.45,23.08,196.19,8359.904969006,-2924.38,-784.66
9065.67,22.51,198.74,8444.92406250565,-2958.45,-795.37
9159.66,21.68,201.38,8532.01299154858,-2991.66,-807.48
9252.49,20.23,201.53,8618.70105682843,-3022.56,-819.62
9345.03,19.78,199.75,8705.65804446825,-3052.18,-830.79
9439.25,18.26,198.24,8794.73202628759,-3081.2,-840.79
9533.43,15.6,198.26,8884.82229091676,-3107.25,-849.38
9627.04,12.01,197.86,8975.71337287276,-3128.48,-856.32
9720.97,10.71,196.82,9067.80130580283,-3146.13,-861.84
9813.27,10.38,196.65,9158.54237192448,-3162.31,-866.7
9906.89,10.07,195.53,9250.67550220557,-3178.28,-871.31
10000.39,11.39,195.05,9342.53868345319,-3195.07,-875.9
10093.97,10.02,196.07,9434.487965348,-3211.82,-880.55
10186.78,8.66,196.03,9526.06540137883,-3226.29,-884.71
10280.52,6.51,197.27,9618.97979902223,-3238.15,-888.24
10372.64,5.84,195.54,9710.56487658087,-3247.65,-891.05
10467.01,5.42,197.9,9804.47956900395,-3256.52,-893.7
10560.04,4.14,197.4,9897.18408754645,-3263.9,-896.06
10652.01,3.91,198.01,9988.92718789128,-3270.05,-898.02
10701.81,3.59,195.16,10038.6205414223,-3273.17,-898.95
10770.0,3.59,195.16,10106.6767302923,-3277.29,-900.07
